State,Risk_Grade,Risk_Score
A&N Islands,STABLE,0.057212527841329575
Andhra Pradesh,CRITICAL,0.997161865234375
Arunachal Pradesh,STABLE,1.3913277996380202e-07
Assam,CRITICAL,0.9999871253967285
Bihar,STABLE,9.336296147267279e-15
Chandigarh,STABLE,8.408579742535949e-05
Chhattisgarh,STABLE,5.830488536417988e-09
D&N Haveli and Daman & Diu,STABLE,2.9594305672731025e-08
Delhi,STABLE,7.815845431080295e-21
Goa,STABLE,1.685188294686668e-06
Gujarat,STABLE,1.1771108871292237e-15
Haryana,STABLE,0.0
Himachal Pradesh,STABLE,0.0003987718955613673
Jammu & Kashmir,STABLE,0.001388855162076652
Jharkhand,STABLE,0.00012501869059633464
Karnataka,STABLE,2.661020946460071e-23
Kerala,STABLE,5.587940792774182e-24
Ladakh,STABLE,3.711106089099303e-09
Lakshadweep,STABLE,2.936587333978585e-14
Madhya Pradesh,STABLE,0.0
Maharashtra,STABLE,5.8133251192225615e-34
Manipur,STABLE,5.538316472097904e-08
Meghalaya,STABLE,7.620532538332725e-10
Mizoram,STABLE,3.1172714898275444e-07
Nagaland,STABLE,3.55612250757531e-08
Odisha,CRITICAL,1.0
Puducherry,STABLE,9.368137398269027e-05
Punjab,STABLE,0.05792226269841194
Rajasthan,STABLE,4.0313094744560817e-25
Sikkim,STABLE,2.755837726908794e-07
Tamil Nadu,STABLE,2.7432317191354324e-29
Telangana,STABLE,3.8927219780937605e-10
Tripura,STABLE,1.7087355445255525e-05
Uttar Pradesh,STABLE,8.201417657202369e-34
Uttarakhand,STABLE,1.659140980336815e-05
West Bengal,STABLE,8.205431829690042e-17
