SL,State,Buying_Total_I,Buying_Total_V,Buying_Total_R,Boys_I,Boys_V,Boys_R,Girls_I,Girls_V,Girls_R,Rape_I,Rape_V,Rape_R,Attempt_I,Attempt_V,Attempt_R
1,Andhra Pradesh,0,0,0,0,0,0,0,0,0,544,561,3.5,45,46,0.3
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,24,25,5.1,1,1,0.2
3,Assam,0,0,0,0,0,0,0,0,0,88,88,0.7,0,0,0
4,Bihar,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0
5,Chhattisgarh,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0
6,Goa,0,0,0,0,0,0,0,0,0,49,50,9.4,0,0,0
7,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8,Haryana,0,0,0,0,0,0,0,0,0,8,8,0.1,0,0,0
9,Himachal Pradesh,0,0,0,0,0,0,0,0,0,197,198,9.1,5,5,0.2
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,11,11,0.2,1,1,0
11,Jharkhand,6,6,0,0,0,0,6,6,0,188,188,1.4,25,25,0.2
12,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13,Kerala,0,0,0,0,0,0,0,0,0,1262,1271,13.5,6,6,0.1
14,Madhya Pradesh,1,1,0,0,0,0,1,1,0,0,0,0,10,10,0
15,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Manipur,0,0,0,0,0,0,0,0,0,10,10,1,1,1,0.1
17,Meghalaya,0,0,0,0,0,0,0,0,0,20,20,2,2,2,0.2
18,Mizoram,0,0,0,0,0,0,0,0,0,23,24,6.2,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0,2,2,0.3,0,0,0
20,Odisha,0,0,0,0,0,0,0,0,0,231,231,1.6,6,6,0
21,Punjab,0,0,0,0,0,0,0,0,0,426,430,4.9,58,58,0.7
22,Rajasthan,0,0,0,0,0,0,0,0,0,1313,1314,4.6,61,72,0.2
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5
24,Tamil Nadu,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
25,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,0,0,0,0,0,0,0,0,0,270,272,0.3,90,90,0.1
28,Uttarakhand,1,1,0,0,0,0,1,1,0,184,184,4.8,10,10,0.3
29,West Bengal,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
30,A&N Islands,0,0,0,0,0,0,0,0,0,8,8,5.9,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,65,65,16.3,2,2,0.5
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
