SL,State,Child_Labour_I,Child_Labour_V,Child_Labour_R,Marriage_I,Marriage_V,Marriage_R,Organs_I,Organs_V,Organs_R
1,Andhra Pradesh,2,3,0,4,4,0,0,0,0
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
3,Assam,68,69,0.6,115,115,1,0,0,0
4,Bihar,15,15,0,8,8,0,0,0,0
5,Chhattisgarh,2,2,0,0,0,0,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0
7,Gujarat,64,106,0.3,20,21,0.1,0,0,0
8,Haryana,11,27,0.1,20,20,0.2,0,0,0
9,Himachal Pradesh,0,0,0,4,4,0.2,0,0,0
10,Jammu & Kashmir,0,0,0,1,1,0,0,0,0
11,Jharkhand,18,18,0.1,3,3,0,0,0,0
12,Karnataka,83,113,0.4,111,111,0.6,0,0,0
13,Kerala,2,6,0,7,7,0.1,0,0,0
14,Madhya Pradesh,4,4,0,4,4,0,0,0,0
15,Maharashtra,53,105,0.1,20,20,0.1,0,0,0
16,Manipur,0,0,0,0,0,0,0,0,0
17,Meghalaya,2,2,0.2,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0
20,Odisha,0,0,0,22,22,0.2,0,0,0
21,Punjab,8,8,0.1,6,6,0.1,0,0,0
22,Rajasthan,48,55,0.2,19,20,0.1,0,0,0
23,Sikkim,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,3,7,0,46,46,0.2,0,0,0
25,Telangana,314,459,2.8,35,35,0.3,0,0,0
26,Tripura,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,9,9,0,4,4,0,0,0,0
28,Uttarakhand,27,29,0.7,2,2,0.1,0,0,0
29,West Bengal,5,5,0,70,70,0.2,0,0,0
30,A&N Islands,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,1,1,0.3,0,0,0
32,D&N Haveli,0,0,0,1,1,0.8,0,0,0
33,Daman & Diu,2,7,2.2,0,0,0,0,0,0
34,Delhi,30,166,0.5,2,2,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0
