SL,State,Other_SLL_I,Other_SLL_V,Other_SLL_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_All_I,Total_All_V,Total_All_R
1,Andhra Pradesh,4,4,0.0,563,570,3.7,2648,2738,17.5
2,Arunachal Pradesh,1,1,0.2,30,30,5.1,113,126,19.2
3,Assam,0,0,0.0,1789,1831,14.8,4622,5252,38.3
4,Bihar,20,21,0.0,1628,1631,3.4,6591,6908,13.9
5,Chhattisgarh,2,2,0.0,2065,2075,21.2,5056,5207,51.9
6,Goa,2,2,0.5,12,15,3.1,125,135,32.7
7,Gujarat,1,2,0.0,2550,2633,12.2,4075,4369,19.5
8,Haryana,1,1,0.0,2006,2056,22.0,4338,4455,47.6
9,Himachal Pradesh,3,3,0.1,38,41,1.8,636,677,29.5
10,Jharkhand,0,0,0.0,977,988,7.1,1795,1818,13.0
11,Karnataka,3,3,0.0,2530,2611,13.1,5471,6137,28.3
12,Kerala,2,2,0.0,2611,2685,27.8,3941,4170,41.9
13,Madhya Pradesh,0,0,0.0,5686,5708,19.8,17008,17800,59.1
14,Maharashtra,20,21,0.1,5964,6058,16.5,14371,14690,39.8
15,Manipur,0,0,0.0,78,79,7.5,125,127,12.1
16,Meghalaya,0,0,0.0,336,348,24.3,415,429,30.1
17,Mizoram,0,0,0.0,115,124,27.2,142,155,33.6
18,Nagaland,0,0,0.0,18,21,2.2,31,36,3.8
19,Odisha,0,0,0.0,2332,2332,16.2,6330,6356,43.9
20,Punjab,2,2,0.0,769,823,8.8,2121,2286,24.3
21,Rajasthan,3,3,0.0,826,1267,2.9,6580,7159,23.4
22,Sikkim,0,0,0.0,98,100,47.6,147,156,71.4
23,Tamil Nadu,17,88,0.1,3267,3398,15.8,4338,4929,21.0
24,Telangana,2,2,0.0,2478,2567,21.8,4200,4374,36.9
25,Tripura,0,0,0.0,149,150,12.1,260,261,21.2
26,Uttar Pradesh,0,0,0.0,7085,7094,8.3,15271,15432,17.9
27,Uttarakhand,1,1,0.0,640,640,16.8,1066,1087,28.1
28,West Bengal,0,0,0.0,2802,2872,9.3,10248,10587,34.2
29,A&N Islands,0,0,0.0,120,120,106.8,141,143,125.5
30,Chandigarh,0,0,0.0,11,14,3.4,209,227,64.5
31,D&N Haveli and Daman & Diu,0,0,0.0,43,43,22.4,67,67,34.9
32,Delhi,0,0,0.0,1249,1285,22.6,5362,5735,96.8
33,Jammu & Kashmir,0,0,0.0,205,205,4.2,606,665,12.3
34,Ladakh,0,0,0.0,0,0,0.0,2,2,2.4
35,Lakshadweep,0,0,0.0,8,8,40.2,9,9,45.2
36,Puducherry,0,0,0.0,71,71,19.8,71,71,19.8
