SL,State,Cyber_Total_I,Cyber_Total_V,Cyber_Total_R,Explicit_I,Explicit_V,Explicit_R,Other_I,Other_V,Other_R
1,Andhra Pradesh,40,42,0.3,39,41,0.3,1,1,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,111,120,0.9,81,88,0.7,30,32,0.2
4,Bihar,1,1,0.0,1,1,0.0,0,0,0.0
5,Chhattisgarh,72,72,0.7,72,72,0.7,0,0,0.0
6,Goa,2,2,0.5,0,0,0.0,2,2,0.5
7,Gujarat,16,14,0.1,15,13,0.1,1,1,0.0
8,Haryana,5,5,0.1,0,0,0.0,5,5,0.1
9,Himachal Pradesh,7,7,0.3,5,5,0.2,2,2,0.1
10,Jharkhand,6,6,0.0,6,6,0.0,0,0,0.0
11,Karnataka,164,172,0.8,159,167,0.8,5,5,0.0
12,Kerala,138,138,1.5,129,129,1.4,9,9,0.1
13,Madhya Pradesh,36,36,0.1,11,11,0.0,25,25,0.1
14,Maharashtra,73,74,0.2,61,62,0.2,12,12,0.0
15,Manipur,1,1,0.1,1,1,0.1,0,0,0.0
16,Meghalaya,3,3,0.2,2,2,0.1,1,1,0.1
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0
19,Odisha,48,48,0.3,48,48,0.3,0,0,0.0
20,Punjab,58,58,0.7,56,56,0.6,2,2,0.0
21,Rajasthan,10,10,0.0,9,9,0.0,1,1,0.0
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0
23,Tamil Nadu,15,15,0.1,15,15,0.1,0,0,0.0
24,Telangana,3,3,0.0,2,2,0.0,1,1,0.0
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0
26,Uttar Pradesh,81,81,0.1,73,73,0.1,8,8,0.0
27,Uttarakhand,20,33,0.5,20,33,0.5,0,0,0.0
28,West Bengal,4,4,0.0,0,0,0.0,4,4,0.0
29,A&N Islands,2,2,1.8,1,1,0.9,1,1,0.9
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0
32,Delhi,161,162,2.9,160,161,2.9,1,1,0.0
33,Jammu & Kashmir,4,4,0.1,3,3,0.1,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0
