SL,State,Offences_State,Total_State,Unlawful_Assembly,Rioting,Promoting_Enmity,Affray,Total_Public_Tranquility
1,Andhra Pradesh,0,0,0,6,0,0,6
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,0,0,9,0,0,9
5,Chhattisgarh,0,0,0,78,0,0,78
6,Goa,0,0,0,0,0,0,0
7,Gujarat,0,0,1,29,0,2,32
8,Haryana,0,0,0,53,1,2,56
9,Himachal Pradesh,0,0,3,9,0,0,12
10,Jharkhand,0,0,0,0,0,0,0
11,Karnataka,0,0,0,29,1,0,30
12,Kerala,0,0,0,5,0,1,6
13,Madhya Pradesh,0,0,0,35,1,0,36
14,Maharashtra,0,0,7,365,1,3,376
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,8,0,0,8
20,Punjab,0,0,0,0,0,0,0
21,Rajasthan,0,0,66,2,2,0,70
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,0,0,0,51,1,0,52
24,Telangana,0,0,0,10,0,3,13
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,0,0,0,32,0,0,32
27,Uttarakhand,0,0,0,0,0,0,0
28,West Bengal,0,0,0,4,0,0,4
29,A&N Islands,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,5,0,0,5
31,D&N Haveli and Daman & Diu,0,0,0,0,0,0,0
32,Delhi,1,1,0,5,0,1,6
33,Jammu & Kashmir,0,0,0,10,0,0,10
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,3,1,0,0,4
