SL,State,Election_Offences,Disobedience_Public_Servant,Harbouring_Offender,Food_Adulteration,Rash_Driving,Obstruction_Public_Way,Obscene_Books
1,Andhra Pradesh,0,0,0,0,18,0,0
2,Arunachal Pradesh,0,0,0,0,1,0,0
3,Assam,0,0,0,0,0,0,0
4,Bihar,0,0,0,0,16,0,0
5,Chhattisgarh,0,0,0,0,53,0,0
6,Goa,0,0,0,0,2,0,0
7,Gujarat,0,9,0,0,52,5,0
8,Haryana,0,1,0,0,22,0,1
9,Himachal Pradesh,0,0,0,0,10,0,0
10,Jharkhand,0,0,0,0,0,0,0
11,Karnataka,1,0,0,0,86,0,0
12,Kerala,0,0,0,0,47,0,0
13,Madhya Pradesh,0,1,0,0,47,0,0
14,Maharashtra,0,1,0,0,48,1,0
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,0,0,0,0,0
20,Punjab,0,1,0,0,10,1,0
21,Rajasthan,0,0,0,0,46,0,0
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,0,1,0,0,291,0,0
24,Telangana,0,0,0,1,37,0,0
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,0,0,0,0,20,0,0
27,Uttarakhand,0,1,1,0,2,0,0
28,West Bengal,0,0,0,0,17,0,0
29,A&N Islands,0,0,0,0,2,0,0
30,Chandigarh,0,0,0,0,2,0,0
31,D&N Haveli and Daman & Diu,0,0,0,0,2,0,0
32,Delhi,0,0,0,0,39,3,0
33,Jammu & Kashmir,0,2,0,0,56,0,0
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,12,0,0
