SL,State,Immoral_Traffic_Act,POCSO_Act,Juvenile_Justice_Act,Child_Marriage_Act,Child_Labour_Act,SC_ST_Atrocities_Act
1,Andhra Pradesh,0,0,0,26,0,0
2,Arunachal Pradesh,0,0,0,1,0,0
3,Assam,0,0,0,34,3,4
4,Bihar,1,0,1,8,0,0
5,Chhattisgarh,0,0,0,159,0,0
6,Goa,0,0,0,0,0,0
7,Gujarat,0,0,0,160,5,0
8,Haryana,0,0,0,152,0,0
9,Himachal Pradesh,0,0,0,2,0,0
10,Jharkhand,0,0,0,12,0,0
11,Karnataka,0,0,0,136,0,0
12,Kerala,0,1,1,129,0,0
13,Madhya Pradesh,0,0,0,281,0,0
14,Maharashtra,0,0,0,313,0,0
15,Manipur,0,0,0,6,0,0
16,Meghalaya,0,0,0,48,0,0
17,Mizoram,0,0,0,6,0,0
18,Nagaland,0,0,0,1,0,0
19,Odisha,0,0,0,0,0,0
20,Punjab,1,0,1,33,0,0
21,Rajasthan,0,0,0,82,0,0
22,Sikkim,0,0,0,7,0,0
23,Tamil Nadu,1,0,1,231,20,1
24,Telangana,0,0,0,104,0,0
25,Tripura,0,0,0,14,0,0
26,Uttar Pradesh,0,0,0,215,0,0
27,Uttarakhand,0,0,0,28,0,0
28,West Bengal,0,0,0,135,1,2
29,A&N Islands,0,0,0,8,0,0
30,Chandigarh,0,0,0,0,0,0
31,D&N Haveli and Daman & Diu,0,0,0,5,0,0
32,Delhi,0,0,0,117,2,0
33,Jammu & Kashmir,0,0,0,17,0,0
34,Ladakh,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,0,0,0,8,0,0
