SL,State,Cases_Reported,Below_6,6_to_12,12_to_16,16_to_18,Total_Child,18_to_30,30_to_45,45_to_60,60_plus,Total_Adult,Total_Victims
1,Andhra Pradesh,1086,16,38,184,323,561,431,89,21,2,543,1104
2,Arunachal Pradesh,63,1,2,13,9,25,26,12,1,0,39,64
3,Assam,1773,0,7,50,31,88,1231,376,96,0,1703,1791
4,Bihar,730,0,0,0,1,1,558,159,22,0,739,740
5,Chhattisgarh,1036,0,0,3,0,3,683,312,32,8,1035,1038
6,Goa,72,2,5,28,15,50,17,3,3,1,24,74
7,Gujarat,528,0,0,0,0,0,379,129,20,1,529,529
8,Haryana,1480,0,0,0,8,8,964,450,55,3,1472,1480
9,Himachal Pradesh,359,8,25,79,86,198,114,43,6,0,163,361
10,Jammu & Kashmir,223,0,0,9,2,11,137,62,13,0,212,223
11,Jharkhand,1416,0,2,19,167,188,909,304,25,0,1238,1426
12,Karnataka,505,0,0,0,0,0,363,133,10,2,508,508
13,Kerala,2023,45,160,373,693,1271,429,280,49,15,773,2044
14,Madhya Pradesh,2485,0,0,0,0,0,1836,572,74,8,2490,2490
15,Maharashtra,2299,0,0,0,0,0,1549,695,59,2,2305,2305
16,Manipur,36,0,0,6,4,10,22,2,1,1,26,36
17,Meghalaya*,102,1,3,9,7,20,59,19,3,1,82,102
18,Mizoram,42,2,13,6,3,24,9,8,1,1,19,43
19,Nagaland,8,0,2,0,0,2,6,0,0,0,6,8
20,Odisha,1382,1,0,40,190,231,1091,53,6,2,1152,1383
21,Punjab,1002,14,37,178,201,430,419,148,9,2,578,1008
22,Rajasthan,5997,15,70,462,767,1314,3263,1272,200,2,4737,6051
23,Sikkim,11,0,0,0,0,0,6,2,2,1,11,11
24,Tamil Nadu,362,1,6,2,0,9,267,74,8,4,353,362
25,Telangana,873,0,0,0,0,0,633,212,27,1,873,873
26,Tripura,88,0,0,0,0,0,63,20,5,0,88,88
27,Uttar Pradesh,3065,29,41,113,89,272,2210,581,65,3,2859,3131
28,Uttarakhand,526,5,6,39,134,184,249,80,12,1,342,526
29,West Bengal,1069,0,0,1,3,4,736,310,18,1,1065,1069
30,A & N Islands,13,0,2,3,3,8,5,0,0,0,5,13
31,Chandigarh,112,4,9,31,21,65,29,18,0,0,47,112
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,4,0,0,0,0,0,2,2,0,0,4,4
34,Delhi UT,1253,0,0,0,0,0,948,296,8,1,1253,1253
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,10,0,0,0,0,0,10,0,0,0,10,10
