SL,State,Kidnap_Total_I,Kidnap_Total_V,Kidnap_Total_R,Sec363_I,Sec363_V,Sec363_R,Sec364_I,Sec364_V,Sec364_R
1,Andhra Pradesh,524,546,2.0,334,355,1.3,1,1,0.0
2,Arunachal Pradesh,38,39,5.0,28,29,3.7,0,0,0.0
3,Assam,3110,3310,17.7,645,731,3.7,3,3,0.0
4,Bihar,12136,12194,19.8,868,878,1.4,6,6,0.0
5,Chhattisgarh,2440,2477,16.2,2345,2382,15.5,0,0,0.0
6,Goa,51,53,6.5,41,43,5.2,0,0,0.0
7,Gujarat,1257,1283,3.7,646,665,1.9,0,0,0.0
8,Haryana,3204,3238,22.4,366,376,2.6,3,3,0.0
9,Himachal Pradesh,351,361,9.5,200,209,5.4,0,0,0.0
10,Jharkhand,1253,1253,6.5,93,93,0.5,4,4,0.0
11,Karnataka,2327,2447,7.0,2256,2297,6.8,1,1,0.0
12,Kerala,191,205,1.0,104,115,0.6,1,1,0.0
13,Madhya Pradesh,8557,9140,20.3,6833,7413,16.2,1,1,0.0
14,Maharashtra,9361,10054,15.4,9147,9804,15.0,2,2,0.0
15,Manipur,32,34,2.0,2,2,0.1,0,0,0.0
16,Meghalaya,54,76,3.2,32,54,1.9,0,0,0.0
17,Mizoram,1,1,0.2,0,0,0.0,1,1,0.2
18,Nagaland,7,7,0.6,4,4,0.4,0,0,0.0
19,Odisha,5611,5614,24.3,5400,5403,23.4,1,1,0.0
20,Punjab,1430,1463,9.8,12,13,0.1,1,1,0.0
21,Rajasthan,7522,7663,19.0,4528,4584,11.4,0,0,0.0
22,Sikkim,15,22,4.6,14,21,4.3,0,0,0.0
23,Tamil Nadu,290,291,0.8,57,58,0.1,0,0,0.0
24,Telangana,2152,2282,11.4,1816,1937,9.6,0,0,0.0
25,Tripura,111,114,5.4,36,37,1.8,1,1,0.0
26,Uttar Pradesh,14272,15074,12.6,3613,4367,3.2,19,19,0.0
27,Uttarakhand,698,743,12.3,136,136,2.4,0,0,0.0
28,West Bengal,6544,6920,13.5,3935,4043,8.1,6,6,0.0
29,A&N Islands,16,16,8.4,16,16,8.4,0,0,0.0
30,Chandigarh,131,138,23.0,119,125,20.9,0,0,0.0
31,D&N Haveli and Daman & Diu,35,35,8.0,34,34,7.8,0,0,0.0
32,Delhi,3970,4089,39.5,3838,3952,38.2,0,0,0.0
33,Jammu & Kashmir,895,911,13.8,351,366,5.4,2,2,0.0
34,Ladakh,3,4,2.3,3,4,2.3,0,0,0.0
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,16,17,1.8,15,15,1.7,0,0,0.0
