SL,State,Insult_Total_I,Insult_Total_V,Insult_Total_R,Insult_18_I,Insult_18_V,Insult_18_R,Insult_Below18_I,Insult_Below18_V,Insult_Below18_R,Total_Crime_I,Total_Crime_V,Total_Crime_R
1,Andhra Pradesh,2826,3020,10.6,2826,3020,10.6,0,0,0.0,20008,20367,75.2
2,Arunachal Pradesh,16,16,2.1,16,16,2.1,0,0,0.0,271,286,35.6
3,Assam,42,42,0.2,42,42,0.2,0,0,0.0,9144,9519,52.0
4,Bihar,47,47,0.1,47,47,0.1,0,0,0.0,16819,16902,27.5
5,Chhattisgarh,241,241,1.6,239,239,1.6,2,2,0.0,5839,5905,38.7
6,Goa,21,21,2.7,20,20,2.6,1,1,0.1,277,309,35.4
7,Gujarat,15,15,0.0,15,15,0.0,0,0,0.0,5118,5175,15.0
8,Haryana,443,443,3.1,442,442,3.1,1,1,0.0,13554,13634,94.9
9,Himachal Pradesh,97,97,2.6,97,97,2.6,0,0,0.0,1566,1585,42.5
10,Jharkhand,4,4,0.0,4,4,0.0,0,0,0.0,4565,4702,23.6
11,Karnataka,148,154,0.4,148,154,0.4,0,0,0.0,13393,15189,40.1
12,Kerala,679,689,3.6,671,681,3.6,8,8,0.0,11377,11597,61.1
13,Madhya Pradesh,243,243,0.6,237,237,0.6,6,6,0.0,25751,26374,61.1
14,Maharashtra,1309,1315,2.2,1309,1315,2.2,0,0,0.0,38265,39275,62.9
15,Manipur,8,8,0.5,8,8,0.5,0,0,0.0,146,148,9.1
16,Meghalaya,17,17,1.0,17,17,1.0,0,0,0.0,218,244,13.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,71,71,11.5
18,Nagaland,1,1,0.1,1,1,0.1,0,0,0.0,37,37,3.4
19,Odisha,569,593,2.5,569,593,2.5,0,0,0.0,22757,22787,98.7
20,Punjab,20,20,0.1,20,20,0.1,0,0,0.0,4396,4440,30.0
21,Rajasthan,81,81,0.2,81,81,0.2,0,0,0.0,41645,42014,105.2
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,44,51,13.5
23,Tamil Nadu,46,46,0.1,46,46,0.1,0,0,0.0,3579,3685,9.3
24,Telangana,957,961,5.0,957,961,5.0,0,0,0.0,20369,21036,107.4
25,Tripura,3,3,0.1,3,3,0.1,0,0,0.0,645,666,31.6
26,Uttar Pradesh,145,145,0.1,145,145,0.1,0,0,0.0,50111,51411,44.2
27,Uttarakhand,26,26,0.5,26,26,0.5,0,0,0.0,2883,2979,50.7
28,West Bengal,412,413,0.8,412,413,0.8,0,0,0.0,31928,33108,65.6
29,A&N Islands,12,12,6.3,12,12,6.3,0,0,0.0,81,81,42.4
30,Chandigarh,5,6,0.9,5,6,0.9,0,0,0.0,366,376,64.3
31,D&N Haveli and Daman & Diu,3,3,0.7,3,3,0.7,0,0,0.0,60,60,13.7
32,Delhi,352,352,3.5,351,351,3.5,1,1,0.0,11688,11931,116.2
33,Jammu & Kashmir,21,21,0.3,21,21,0.3,0,0,0.0,3267,3318,50.3
34,Ladakh,4,4,3.0,4,4,3.0,0,0,0.0,17,18,12.9
35,Lakshadweep,1,1,3.0,1,1,3.0,0,0,0.0,12,12,36.4
36,Puducherry,9,9,1.0,9,9,1.0,0,0,0.0,94,109,10.8
