SL,State,Cyber_Total_I,Cyber_Total_V,Cyber_Total_R,Sec67_I,Sec67_V,Sec67_R,Other_Cyber_I,Other_Cyber_V,Other_Cyber_R
1,Andhra Pradesh,79,87,0.3,68,76,0.3,11,11,0.0
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0
3,Assam,182,186,1.0,97,101,0.6,85,85,0.5
4,Bihar,100,100,0.2,20,20,0.0,80,80,0.1
5,Chhattisgarh,198,199,1.3,195,196,1.3,3,3,0.0
6,Goa,9,18,1.1,8,17,1.0,1,1,0.1
7,Gujarat,54,54,0.2,45,45,0.1,9,9,0.0
8,Haryana,103,103,0.7,96,96,0.7,7,7,0.0
9,Himachal Pradesh,21,21,0.6,21,21,0.6,0,0,0.0
10,Jharkhand,12,12,0.1,12,12,0.1,0,0,0.0
11,Karnataka,458,478,1.4,457,477,1.4,1,1,0.0
12,Kerala,369,414,2.0,333,378,1.8,36,36,0.2
13,Madhya Pradesh,52,52,0.1,38,38,0.1,14,14,0.0
14,Maharashtra,81,83,0.1,40,42,0.1,41,41,0.1
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0
16,Meghalaya,10,15,0.6,9,14,0.5,1,1,0.1
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0
18,Nagaland,1,1,0.1,1,1,0.1,0,0,0.0
19,Odisha,761,761,3.3,358,358,1.6,403,403,1.7
20,Punjab,37,37,0.3,27,27,0.2,10,10,0.1
21,Rajasthan,225,225,0.6,212,212,0.5,13,13,0.0
22,Sikkim,4,4,1.2,4,4,1.2,0,0,0.0
23,Tamil Nadu,91,91,0.2,76,76,0.2,15,15,0.0
24,Telangana,120,124,0.6,78,80,0.4,42,44,0.2
25,Tripura,13,13,0.6,13,13,0.6,0,0,0.0
26,Uttar Pradesh,485,495,0.4,389,399,0.3,96,96,0.1
27,Uttarakhand,77,77,1.4,51,51,0.9,26,26,0.5
28,West Bengal,9,9,0.0,6,6,0.0,3,3,0.0
29,A&N Islands,29,29,15.2,27,27,14.1,2,2,1.0
30,Chandigarh,5,6,0.9,5,6,0.9,0,0,0.0
31,D&N Haveli and Daman & Diu,3,3,0.7,3,3,0.7,0,0,0.0
32,Delhi,36,36,0.4,28,28,0.3,8,8,0.1
33,Jammu & Kashmir,43,43,0.7,39,39,0.6,4,4,0.1
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,1,1,3.0,1,1,3.0,0,0,0.0
36,Puducherry,10,10,1.1,10,10,1.1,0,0,0.0
